TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
12	1200	14372497081	3575278428	4.019966	3708035728	52932670	1.43	2088554394	1136265	0.05	18996309	4699310	24.74	0	0.825010000
12	1500	27992287490	7757240025	3.608537	7216872411	104130648	1.44	4060765400	2206736	0.05	37255628	19712323	52.91	0	1.769320000
12	1800	48280623088	12713376673	3.797624	12441753405	179101674	1.44	6995923219	3649305	0.05	64020546	42903222	67.01	0	2.860960000
12	2000	66188530479	17578409812	3.765331	17049296669	245325844	1.44	9585374088	5565418	0.06	87934217	64095938	72.89	0	4.027150000
12	2048	71054968651	25749953360	2.759421	18302008196	1689633191	9.23	10288881395	6699518	0.07	926031777	464254221	50.13	0	5.811030000
12	2400	114178191813	30432908882	3.751800	29406160278	422514031	1.44	16520841241	12254272	0.07	169629343	136416603	80.42	0	7.207490000
12	2700	162445047630	46831946021	3.468680	41828933797	608794649	1.46	23493474077	12717085	0.05	219513947	192030368	87.48	0	10.918210000
12	3000	222695693871	59292881867	3.755859	57334246904	826166793	1.44	32194799018	16370576	0.05	331946806	285125286	85.89	0	13.257560000
13	256	147739335	38373940	3.849991	38776775	640128	1.65	22174653	32683	0.15	36796	15075	40.97	0	0.009720000
13	300	234847838	59754755	3.930195	61406771	725551	1.18	35027964	34685	0.10	59542	22771	38.24	0	0.019650000
13	400	543362744	134430703	4.041954	142050920	1675613	1.18	80324904	58044	0.07	399161	59087	14.80	0	0.036970000
13	512	1128032538	288572241	3.909013	294086709	38958582	13.25	165803158	117333	0.07	13699124	241959	1.77	0	0.068870000
13	800	4241813611	1027490073	4.128326	1103638630	13670517	1.24	618931361	354121	0.06	5263710	773633	14.70	0	0.249160000
13	1024	8846992328	2175714859	4.066246	2300245865	308705250	13.42	1287207950	588874	0.05	108749502	3592819	3.30	0	0.527270000
13	1200	14212034465	3557632389	3.994801	3691525445	46264168	1.25	2064759176	1033400	0.05	17686191	4804998	27.17	0	0.808860000
13	1500	27670008843	7705398044	3.590990	7183722103	91960377	1.28	4012971975	2160400	0.05	34581484	17497998	50.60	0	1.751300000
13	1800	47713506108	12524424248	3.809637	12383430062	154407905	1.25	6911818373	3208118	0.05	59067452	39371907	66.66	0	2.918970000
13	2000	65361150277	17276575305	3.783224	16964212398	210357026	1.24	9462667024	5218642	0.06	82949211	59671436	71.94	0	4.018710000
13	2048	70187230844	25273295647	2.777130	18212751144	2322423940	12.75	10160193094	4632889	0.05	814486551	402927508	49.47	0	5.655660000
13	2400	112803638252	30510472756	3.697210	29264827082	363604693	1.24	16316978310	8280277	0.05	155703669	128491291	82.52	0	7.056070000
13	2700	160473556024	46558978923	3.446673	41626238132	531321288	1.28	23201073416	10506154	0.05	202315208	181885244	89.90	0	10.651310000
13	3000	219975555765	58680676880	3.748688	57054597827	711920570	1.25	31791358614	13038071	0.04	308077035	265442182	86.16	0	13.114330000
14	256	146707412	38719011	3.789028	38672119	595646	1.54	22021292	31794	0.14	42772	16074	37.58	0	0.012940000
14	300	232010028	59484800	3.900325	61118475	646904	1.06	34606326	38936	0.11	54146	24402	45.07	0	0.019120000
14	400	538340689	136211989	3.952227	141543583	1530097	1.08	79577981	64882	0.08	384193	61616	16.04	0	0.035190000
14	512	1115684749	291898055	3.822173	292838449	45149338	15.42	163966823	105844	0.06	11814005	241374	2.04	0	0.074330000
14	800	4201643167	1024668689	4.100489	1099579918	12145188	1.10	612955949	261750	0.04	4956508	771609	15.57	0	0.242210000
14	1024	8764791262	2317513890	3.781980	2291949634	365090141	15.93	1274979094	503269	0.04	94448892	9403619	9.96	0	0.553560000
14	1200	14054048434	3616254832	3.886355	3675587217	40883951	1.11	2041254360	770899	0.04	16454069	5132592	31.19	0	0.859100000
14	1500	27387833548	7540661522	3.632020	7155245792	81959302	1.15	3970990776	1544097	0.04	32203685	15982423	49.63	0	1.715190000
14	1800	47205897472	12373194925	3.815174	12332242538	137814764	1.12	6836288438	2950274	0.04	54988262	36543016	66.46	0	2.824890000
14	2000	64672166689	17043138351	3.794616	16894781271	186473090	1.10	9360138250	3250229	0.03	76598316	56093212	73.23	0	3.824130000
14	2048	69464373391	24163671665	2.874744	18139854992	2710883213	14.94	10052637383	3890657	0.04	717543134	354961896	49.47	0	5.435530000
14	2400	111630736899	30018940902	3.718677	29146579682	322741790	1.11	16142448384	9444183	0.06	141811831	120818127	85.20	0	6.849550000
14	2700	158761259863	45483317178	3.490538	41453677856	474534795	1.14	22946262785	8029877	0.03	187977065	171012694	90.98	0	10.279520000
14	3000	217720263528	58782166272	3.703849	56827271846	632496113	1.11	31455768745	38532823	0.12	291514175	247999292	85.07	0	13.397050000
15	256	145686160	41234370	3.533124	38569914	611866	1.59	21869186	134663	0.62	40103	15955	39.79	0	0.011430000
15	300	229222034	63722562	3.597188	60841595	609461	1.00	34190536	200598	0.59	64684	28592	44.20	0	0.015610000
15	400	533384836	142129509	3.752809	141051424	1452099	1.03	78838860	433679	0.55	369225	54512	14.76	0	0.037250000
15	512	1107558943	306413571	3.614588	292030609	53700769	18.39	162755093	815641	0.50	10820209	204042	1.89	0	0.077170000
15	800	4162002910	1068212751	3.896230	1095643585	11456102	1.05	607043908	3487935	0.57	4620586	599616	12.98	0	0.249240000
15	1024	8683647424	2389143847	3.634627	2283895831	423473862	18.54	1262874866	6446410	0.51	90270453	4003118	4.43	0	0.556480000
15	1200	13920562294	3706251748	3.755968	3662368561	38103013	1.04	2021335247	11634213	0.58	15333416	3735916	24.36	0	0.854320000
15	1500	27109619946	7925810385	3.420422	7127679142	78482534	1.10	3929478406	22783565	0.58	30700320	16287341	53.05	0	1.860170000
15	1800	46755396842	13099215361	3.569328	12287630989	127687952	1.04	6769062833	40720271	0.60	51650029	34910410	67.59	0	3.098900000
15	2000	64115875085	18031505184	3.555769	16839677626	175344039	1.04	9277129232	53638108	0.58	72821756	53416520	73.35	0	4.253290000
15	2048	68816097498	23364425821	2.945337	18075618769	3214863757	17.79	9955905470	50224246	0.50	642546563	302066507	47.01	0	5.279610000
15	2400	110562897146	31600767775	3.498741	29040831251	301974284	1.04	15983096254	93109203	0.58	139255540	114706556	82.37	0	7.178910000
15	2700	157297524214	48122686369	3.268677	41308775294	452809656	1.10	22727824878	136759377	0.60	183173525	165294524	90.24	0	10.833950000
15	3000	215634650395	60384163224	3.571046	56620724478	598026727	1.06	31144526642	179586999	0.58	285000959	228800899	80.28	0	13.504320000
16	256	143675039	40170370	3.576642	38372659	571560	1.49	21568685	92130	0.43	40039	16140	40.31	0	0.012190000
16	300	227846337	62114827	3.668147	60707325	587605	0.97	33984813	135848	0.40	56769	23513	41.42	0	0.015560000
