TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
6	1500	33059306021	9578340204	3.451465	7818482060	265601215	3.40	4791281174	5190929	0.11	73052667	30581966	41.86	0	2.160620000
6	1800	57036254965	19058655708	2.992669	13481322125	451795995	3.35	8258241789	4607975	0.06	124987760	69515511	55.62	0	4.260190000
6	2000	78231291118	24155648502	3.238633	18480201452	627592443	3.40	11321331258	6621327	0.06	172658837	109552886	63.45	0	5.404700000
6	2048	83984938874	38783852062	2.165462	19838303303	1017586310	5.13	12152736749	3470842	0.03	527867533	376878800	71.40	0	8.661040000
6	2400	134931754244	40346965745	3.344285	31870278502	1117719647	3.51	19512959265	13877982	0.07	336176451	244624288	72.77	0	9.012760000
6	2700	191994305019	61795499999	3.106930	45337395222	1561155741	3.44	27753716536	17006959	0.06	423810587	339136941	80.02	0	13.797310000
6	3000	263229388760	84467423623	3.116342	62146936536	2137138611	3.44	38038738400	3940536	0.01	588231416	489574914	83.23	0	18.856740000
6	257	176514059	48715832	3.623341	42415688	797989	1.88	26333212	45332	0.17	36451	13191	36.19	0	0.012710000
6	301	281082326	76289960	3.684395	67218678	1381072	2.05	41699321	64376	0.15	116951	20437	17.47	0	0.022810000
6	401	650745070	170898243	3.807793	155280695	4810163	3.10	95835978	103682	0.11	816347	56684	6.94	0	0.044600000
6	513	1351169863	350827943	3.851375	321361719	11344442	3.53	198017345	218248	0.11	2764836	110905	4.01	0	0.085450000
6	801	5083477157	1267681218	4.010060	1205127032	41297944	3.43	740458402	773004	0.10	11146264	258825	2.32	0	0.291150000
6	1025	10599170396	2652772038	3.995507	2510277134	93432128	3.72	1540260838	1706057	0.11	23223168	773155	3.33	0	0.601990000
6	1201	17033439620	4593810307	3.707911	4029271304	139151865	3.45	2472114852	2037391	0.08	37494212	5537519	14.77	0	1.031580000
