LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,500000,720,20,39160619,22815136,30427962042,7160673876,391,6185800,6089,40062,0,4366320720,2169095,21974836,2001.82," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 278 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,720,24,39178112,22753296,30322334417,7134654573,0,6106643,6429,42254,0,4393696764,2071416,21989195,1977.49," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 276 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,720,28,39247164,22768506,30399038869,7096059317,0,6099337,6023,38840,0,4397661129,1782643,22202375,1848.25," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 282 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,4,55840735,32458213,43352348567,10249738774,782,8773828,7536,56748,0,6206202749,2764029,30991172,2667.41," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 293 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,8,55939866,32430335,43279301319,10207328811,684,8738671,1951,5324,0,6239047557,2831044,31601469,2685.18," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 296 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,12,55986845,32432786,43311749620,10133420257,586,8732672,7145,4333,0,6233273498,3125630,31847538,2721.16," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 305 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,16,55952772,32441323,43362028415,10181305361,489,8755065,7529,2150,0,6210143932,2955466,31801178,2724.73," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 294 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,20,55962354,32359279,43215814902,10132215041,390,8678761,1977,4307,0,6245122336,2582619,31627609,2650.17," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 309 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,24,55565404,32278560,43328675564,10099176801,293,8770910,7329,54070,0,6208146413,2715445,31725487,2702.35," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 298 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,500000,1024,28,55597013,32272174,43276689262,10262495199,195,8695500,7967,55776,0,6213570172,2568682,31162220,2800.84," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 293 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,1000000,90,4,9926871,5926376,7754591888,1759390295,41,1536062,1928,908,0,1078684199,558202,5429515,621.16,"malloc(): corrupted top size "
0,1000000,90,8,9999662,5961863,7746101832,1763038067,44,1528333,1918,894,0,1084035001,453364,5474255,617.59,"malloc(): corrupted top size "
0,1000000,90,12,9832854,5857925,7632792250,1748260275,29,1529214,1890,3070,0,1092476871,553344,5465055,651.54,"malloc(): corrupted top size "
0,1000000,90,16,9814960,5874930,7681277109,1770594205,30,1533190,1972,3424,0,1080222084,672398,5438042,611.15,"malloc(): corrupted top size "
0,1000000,90,20,9923665,5898709,7665911558,1759542659,19,1524820,1999,442,0,1103166165,547878,5628587,628.75,"malloc(): corrupted top size "
0,1000000,90,24,10054949,5962714,7697740089,1760989680,17,1508786,1891,2567,0,1097237687,538486,5633215,639.63,"malloc(): corrupted top size "
0,1000000,90,28,9788478,5809237,7608921330,1738061084,0,1535275,1957,2921,0,1096611063,531970,5524818,626.50,"malloc(): corrupted top size "
0,1000000,180,4,19728817,11512001,15262132438,3489650884,40,3056622,2079,961,0,2174026987,1018530,11031225,1339.43,"malloc(): corrupted top size "
0,1000000,180,8,19546703,11477760,15273020734,3496001778,34,3085926,2064,1296,0,2168937583,948036,10902636,1212.61,"malloc(): corrupted top size "
0,1000000,180,12,19634757,11520983,15267048209,3492665267,0,3060702,1922,2944,0,2171949633,970222,11108603,1271.83,"malloc(): corrupted top size "
0,1000000,180,16,19624208,11515691,15230406894,3527559754,24,3056533,1789,2222,0,2191714660,950275,10915727,1252.56,"malloc(): corrupted top size "
0,1000000,180,20,19482839,11414363,15191041731,3582900975,0,3075071,1905,2977,0,2183617295,1220718,11004691,1310.71,"malloc(): corrupted top size "
